Id,fwd,lag_d,noc,gy,ay,noi,UMC,firm,MSA,tbm,tbru,PAG,npr,fpr,FT,FS
6381,64,330,2,1998,1997,3,380,347550,261,18,0.57409,5323412.167,0,3,2,
6382,31,334,31,1997,1996,5,713,280070,168,6,0.44445,4733171.5,5,0,2,225
6383,75,1069,1,1998,1995,1,358,0,168,24,0.87159,4879148.292,8,5,1,
6384,21,819,20,1998,1996,1,345,373780,268,2,0,5543609.5,0,0,2,17
6385,9,964,18,2000,1997,3,345,864055,261,4,0,5558867.5,0,0,2,0
6386,30,945,21,1998,1995,1,708,0,537,3,0,5410053.667,1,0,1,
6387,3,1022,12,1994,1991,1,358,160890,252,2,0.5,4743336,4,0,2,134
6388,19,1008,1,1992,1989,1,712,864017,553,7,0.24491,4461223.429,0,0,3,104
6389,79,826,27,2000,1997,3,700,172255,191,32,0.90049,5247665.969,18,10,2,86
6390,199,848,17,1995,1993,2,370,716598,261,10,0.48,4951614,8,0,2,
6391,17,847,23,1997,1994,3,340,252865,553,10,0.68,5203974.2,1,1,3,330
6392,25,958,20,2000,1997,2,702,0,168,10,0.88,5442064.9,9,0,1,
6393,3,935,33,2000,1997,1,712,278220,261,4,0,5592794.25,0,0,2,48
6394,9,741,8,1997,1995,2,707,280070,159,11,0.85954,4873284.909,2,0,2,219
6395,29,1057,28,1994,1991,2,341,312145,276,14,0.65307,4463600.286,0,0,2,2
6396,38,1125,46,1995,1992,2,712,358975,553,7,0.40817,4771548.714,2,0,3,242
6397,7,244,21,1995,1995,3,358,706518,69,3,0,5168583.667,11,0,2,304
6398,6,1160,4,1999,1996,4,235,765963,47,22,0.83476,4612388.909,0,0,2,
6399,37,603,33,1998,1997,9,711,863992,555,40,0.72128,5062239.625,9,1,3,
6400,4,1180,8,2000,1997,3,386,864044,555,8,0.21876,5600549.25,0,0,3,
6401,3,638,4,1998,1996,1,700,280070,213,9,0.49384,5064261.556,3,2,2,225
6402,2,858,9,2000,1997,3,710,0,154,6,0,5342169.333,0,0,4,
6403,37,1044,11,1983,1980,4,713,252865,553,9,0.44445,3953660.222,1,0,3,143
6404,48,497,18,1991,1990,1,434,441575,553,4,0.5,4431327.75,0,0,3,2
6405,26,489,17,1996,1994,2,714,560270,60,12,0.29168,4978235.333,0,3,2,9
6406,7,768,10,1996,1994,1,703,864017,553,7,0.6939,5066913.714,6,3,3,147
6407,32,1075,20,2000,1997,1,715,48720,261,29,0.77057,5485934.345,10,2,2,1
6408,4,825,3,1990,1988,2,700,594960,538,14,0.25511,4462668.929,0,3,3,
6409,124,431,36,1995,1994,4,714,278220,261,49,0.83221,4867554.816,13,10,2,29
6410,6,1181,26,2000,1997,1,702,247970,49,7,0.8572,4985909.429,0,0,2,
6411,12,176,30,1993,1993,2,708,386735,16,16,0.50785,4355415.625,2,0,2,107
6412,6,624,30,1998,1996,2,455,386735,60,10,0.46,5180365,0,0,2,142
6413,46,1208,7,1997,1994,3,345,373780,268,17,0.74741,5227121.294,21,3,2,14
6414,44,1342,28,1995,1992,2,345,280070,168,17,0.31142,4818228.235,1,0,2,344
6415,9,1037,21,2000,1997,2,707,706913,47,7,0,5310890,0,0,2,
6416,10,1016,76,1994,1991,3,358,654319,553,2,0,4840639.5,1,12,3,54
6417,0,915,9,1998,1996,1,345,864017,553,2,0.5,5074667,0,0,3,152
6418,9,1145,39,1998,1995,1,713,672689,261,34,0.88068,5081355.647,37,2,3,
6419,6,2470,5,1999,1992,4,701,219155,111,11,0.42977,4986521.909,0,0,2,
